id,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth
5524,3,8,10,4,7
2174,2,1,1,2,5
4141,1,8,2,10,4
6182,2,2,0,4,6
5324,5,5,3,6,5
7446,2,6,4,10,6
965,4,7,3,7,6
6177,2,4,0,4,8
4855,1,3,0,2,9
5899,1,1,0,0,20
1994,1,1,0,2,7
387,1,2,0,3,8
2125,1,3,4,8,2
8180,3,6,1,5,6
2569,1,1,0,3,8
2114,1,7,6,12,3
9736,3,3,0,3,8
4939,2,4,1,6,7
6565,2,11,4,9,5
2278,2,2,1,3,6
9360,1,4,2,5,8
5376,15,0,28,0,1
1993,3,2,3,9,8
4047,3,6,2,9,4
1409,7,7,1,5,8
7892,2,2,1,3,7
2404,4,5,1,4,7
5255,0,27,0,0,1
9422,2,2,1,4,3
1966,1,6,9,10,2
6864,2,3,0,3,5
3033,1,2,5,3,3
5710,2,2,1,4,5
7373,6,4,1,6,6
8755,1,3,5,9,7
10738,1,2,0,3,7
4339,5,5,6,12,2
10755,3,3,1,2,7
8595,2,1,1,3,5
2968,2,7,10,5,6
8601,2,8,6,5,4
503,2,2,0,3,8
8430,1,0,0,3,5
7281,1,1,3,4,2
2139,3,2,0,3,5
1371,1,2,4,9,1
9909,3,3,1,3,9
7286,1,2,0,2,10
7244,3,2,1,4,6
6566,9,5,2,12,8
8614,1,4,2,10,2
4114,1,6,9,13,3
1331,2,2,0,3,7
2225,1,4,9,7,1
9381,7,4,2,10,3
6260,1,3,10,13,1
10383,1,5,5,10,3
7437,1,1,0,4,3
8557,2,2,0,3,6
8375,3,8,2,6,7
6853,1,3,6,11,1
3076,4,4,2,12,3
1012,4,8,2,10,7
6518,1,7,3,8,5
4137,1,7,4,4,4
8082,1,1,1,2,7
1386,1,1,0,2,7
9369,1,11,10,10,5
4477,1,5,2,10,4
1357,7,2,5,5,5
1402,3,4,8,6,3
10629,3,3,0,3,8
6312,4,10,3,13,7
8132,5,9,2,8,7
1050,1,2,1,4,2
5846,1,1,0,2,6
1859,1,7,6,5,5
7503,0,5,8,9,4
10401,1,0,0,3,3
1618,2,10,1,8,8
3332,4,3,1,4,8
2261,1,1,0,2,7
5346,3,3,0,3,7
4119,1,2,5,3,3
535,1,3,10,13,1
5268,2,1,0,4,7
273,5,3,1,4,7
4452,4,6,1,6,7
8504,1,5,6,7,2
771,1,2,2,5,2
8996,12,7,2,8,9
9235,1,1,0,2,7
5798,1,2,4,8,1
11178,1,1,0,3,7
2230,3,3,1,3,5
7516,1,2,0,3,6
7247,5,7,4,6,6
11100,2,2,0,3,7
4646,1,5,7,12,2
3037,2,5,2,7,5
1473,2,2,0,3,8
1016,2,2,0,3,6
4518,2,9,5,11,5
9370,1,6,3,6,4
8908,1,3,11,5,1
8373,1,1,0,3,5
7533,4,4,1,4,7
2683,4,6,4,12,6
3629,2,3,1,3,7
10991,1,5,4,4,2
5077,1,6,6,11,3
7431,1,7,4,5,9
3267,3,8,1,8,6
999,1,6,7,11,3
9215,5,6,4,6,7
2286,2,2,1,3,6
1592,0,4,6,5,1
367,5,9,1,5,9
5234,2,1,1,3,5
9862,2,2,0,3,6
9805,4,6,2,10,4
6205,3,2,1,3,5
8442,2,1,0,3,7
7386,1,1,0,3,7
7215,0,6,8,13,2
1491,2,3,4,7,1
11071,1,3,6,6,1
3381,2,2,0,4,6
8268,3,6,1,7,6
11051,4,6,3,10,4
8026,5,5,4,5,5
433,5,11,1,6,8
9597,1,7,2,9,4
1295,1,6,5,7,4
5290,5,5,1,5,8
1685,1,4,5,13,3
5342,2,1,0,3,8
9579,3,2,2,2,8
7660,2,1,1,2,5
1461,2,2,0,3,7
821,1,5,4,12,2
11084,2,3,5,7,7
8690,1,5,7,10,2
2937,3,8,5,9,6
9701,3,4,2,3,7
9949,3,3,3,6,8
10837,1,2,0,3,6
3120,1,1,0,2,8
5885,7,4,1,4,8
4050,1,2,1,4,3
3830,1,4,4,7,3
7987,4,8,1,6,6
7798,4,7,1,5,7
92,4,3,0,4,6
7055,2,8,5,11,5
10240,1,10,4,6,4
3025,3,6,1,5,7
9283,1,0,0,3,4
9970,1,1,1,6,2
2730,1,3,4,10,1
2795,1,1,0,2,7
9260,2,10,6,9,6
8182,4,3,0,4,8
10095,1,5,4,10,2
8475,15,0,22,0,0
4370,3,2,0,4,6
10573,1,6,7,4,3
3712,1,3,2,6,4
6637,1,3,4,7,1
3152,3,2,1,3,5
5610,2,1,0,3,7
6460,2,2,0,3,8
1349,1,3,1,3,6
1880,2,2,1,3,5
641,1,2,2,2,4
8717,1,11,8,8,5
10314,1,9,10,5,4
10854,2,2,0,3,7
10492,1,0,0,3,2
6935,1,5,7,12,2
7698,1,4,1,4,5
3559,3,2,1,3,6
10562,1,6,4,13,2
10796,1,1,1,3,6
2563,1,2,0,3,6
3518,1,1,1,2,9
5823,2,1,0,4,5
3934,2,7,1,8,5
6982,1,4,10,9,2
6431,2,2,0,3,7
9733,1,1,1,2,6
5602,1,8,7,12,3
7829,1,2,1,2,5
1324,2,3,0,3,8
326,4,5,1,6,6
7224,2,1,1,2,8
6999,1,7,3,12,3
9938,1,4,6,6,2
6422,1,5,6,5,2
3182,6,5,1,3,8
7300,3,8,1,7,5
10424,1,4,4,9,1
8727,3,11,6,9,6
2798,0,7,9,10,4
1030,2,1,0,3,7
624,1,0,1,2,6
5176,1,1,0,3,9
5552,6,4,2,5,6
868,1,2,0,3,6
380,5,11,4,9,8
2677,5,3,1,6,4
6521,1,4,6,9,1
6927,8,5,1,5,8
2877,10,7,1,8,7
0,1,3,4,9,1
1584,6,8,1,5,8
7264,1,1,0,2,8
6274,1,8,10,6,3
1377,2,4,1,5,7
454,2,11,4,11,6
1755,1,1,1,4,3
2075,1,3,5,7,1
4785,2,6,3,11,3
9076,4,4,1,4,8
7079,5,9,6,12,6
4653,4,3,1,4,8
7375,2,8,2,4,8
709,3,2,2,11,8
460,1,3,5,8,2
3726,1,1,0,2,8
6798,9,5,1,8,7
5341,1,6,3,4,7
1606,1,1,0,2,8
9617,1,1,0,3,3
3233,3,7,8,11,5
89,2,2,0,4,6
2936,1,1,0,3,7
9449,1,5,2,11,3
7297,4,3,1,3,7
11004,1,1,0,2,4
313,1,6,5,10,3
9940,2,6,4,4,3
10735,1,2,0,2,9
9529,1,3,9,9,2
6439,7,11,5,8,7
7411,2,1,0,3,6
2176,2,5,3,6,6
9265,2,9,4,6,5
8867,1,4,10,5,3
8932,4,9,6,6,6
10236,2,2,0,3,8
6340,2,1,0,3,6
10089,1,6,9,13,2
